"","Match.Number","Round.Number","Date","Location","HomeTeam","AwayTeam","homeWinPct","awayWinPct","homeDrawPct"
"238",238,24,"20-01-2018","The City Ground","West Ham","Bournemouth",0.333333333333333,0.333333333333333,0.333333333333333
"239",239,24,"21-01-2018","Tottenham Hotspur Stadium","Southampton","Tottenham",0.444444444444444,0.333333333333333,0.222222222222222
"240",240,24,"22-01-2018","Molineux Stadium","Swansea","Liverpool",0.428571428571429,0.285714285714286,0.285714285714286
"241",241,25,"30-01-2018","Vitality Stadium","Huddersfield","Liverpool",0,1,0
"242",242,25,"30-01-2018","Selhurst Park","Swansea","Arsenal",0.428571428571429,0.571428571428571,0
"243",243,25,"30-01-2018","Goodison Park","West Ham","Crystal Palace",0.428571428571429,0.285714285714286,0.285714285714286
"244",244,25,"31-01-2018","Craven Cottage","Chelsea","Bournemouth",0.333333333333333,0.666666666666667,0
"245",245,25,"31-01-2018","Elland Road","Everton","Leicester",0.333333333333333,0.0833333333333333,0.583333333333333
"246",246,25,"31-01-2018","King Power Stadium","Man City","West Brom",0.75,0.0833333333333333,0.166666666666667
"247",247,25,"31-01-2018","Old Trafford","Newcastle","Burnley",0,0,1
"248",248,25,"31-01-2018","St. James' Park","Southampton","Brighton",0,0,1
"249",249,25,"31-01-2018","Tottenham Hotspur Stadium","Spurs","Watford",0.333333333333333,0.333333333333333,0.333333333333333
"250",250,25,"31-01-2018","London Stadium","Tottenham","Man United",0.24,0.48,0.28
"251",251,26,"03-02-2018","Emirates Stadium","Arsenal","Everton",0.76,0.04,0.2
"252",252,26,"03-02-2018","Villa Park","Bournemouth","Spurs",0.333333333333333,0.333333333333333,0.333333333333333
"253",253,26,"03-02-2018","Brentford Community Stadium","Brighton","West Ham",1,0,0
"254",254,26,"03-02-2018","Amex Stadium","Burnley","Man City",0.25,0.5,0.25
"255",255,26,"03-02-2018","Stamford Bridge","Leicester","Swansea",0.75,0,0.25
"256",256,26,"03-02-2018","Anfield","Man United","Huddersfield",1,0,0
"257",257,26,"03-02-2018","Etihad Stadium","West Brom","Southampton",0.375,0.375,0.25
"258",258,26,"04-02-2018","The City Ground","Crystal Palace","Newcastle",0.142857142857143,0.571428571428571,0.285714285714286
"259",259,26,"04-02-2018","St. Mary's Stadium","Liverpool","Tottenham",0.6,0.08,0.32
"260",260,26,"05-02-2018","Molineux Stadium","Watford","Chelsea",0.4,0.4,0.2
"261",261,27,"10-02-2018","Vitality Stadium","Everton","Crystal Palace",0.375,0.375,0.25
"262",262,27,"10-02-2018","Selhurst Park","Man City","Leicester",0.428571428571429,0.571428571428571,0
"263",263,27,"10-02-2018","Goodison Park","Spurs","Brighton",0,0,1
"264",264,27,"10-02-2018","Craven Cottage","Swansea","Burnley",1,0,0
"265",265,27,"10-02-2018","Elland Road","Tottenham","Arsenal",0.36,0.2,0.44
"266",266,27,"10-02-2018","King Power Stadium","West Ham","Watford",0.6,0.4,0
"267",267,27,"11-02-2018","Old Trafford","Huddersfield","Bournemouth",1,0,0
"268",268,27,"11-02-2018","St. James' Park","Newcastle","Man United",0.217391304347826,0.521739130434783,0.260869565217391
"269",269,27,"11-02-2018","Tottenham Hotspur Stadium","Southampton","Liverpool",0.333333333333333,0.444444444444444,0.222222222222222
"270",270,27,"12-02-2018","London Stadium","Chelsea","West Brom",0.833333333333333,0,0.166666666666667
"271",271,28,"24-02-2018","Emirates Stadium","Bournemouth","Newcastle",0,0.5,0.5
"272",272,28,"24-02-2018","Villa Park","Brighton","Swansea",1,0,0
"273",273,28,"24-02-2018","Brentford Community Stadium","Burnley","Southampton",0.666666666666667,0,0.333333333333333
"274",274,28,"24-02-2018","Amex Stadium","Leicester","Spurs",0.5,0.25,0.25
