,Team1,Team2,HomeWin,AwayWin,HomeDraw,AwayDraw
411,Southampton,Tottenham,0.44,0.17,0.22,0.11
412,Southampton,Everton,0.56,0.06,0.28,0.28
413,Southampton,Ipswich,0.25,0.25,0.25,0
414,Southampton,Leeds,0.36,0.09,0.09,0.45
415,Southampton,Wimbledon,0.43,0.43,0.29,0.14
416,Southampton,Blackburn,0.6,0.1,0.3,0.1
417,Southampton,Coventry,0.38,0.25,0.38,0.5
418,Southampton,Man United,0.28,0.11,0.17,0.17
419,Southampton,QPR,0.6,0.4,0,0.2
420,Southampton,Sheffield Weds,0.29,0.14,0.29,0.57
421,Southampton,Swindon,1,0,0,0
422,Southampton,Crystal Palace,0.75,0.38,0.12,0.38
423,Southampton,Leicester,0.42,0.08,0.42,0.33
424,Southampton,Nottingham Forest,0,0.25,0.5,0.25
425,Southampton,Bolton,0.17,0.33,0.33,0.67
426,Southampton,Middlesbrough,0.33,0.56,0.44,0.11
427,Southampton,Derby,0.5,0,0.17,0.5
428,Southampton,Sunderland,0.4,0.4,0.3,0.4
429,Southampton,Barnsley,1,0,0,0
430,Southampton,Charlton,0.5,0,0.5,0.5
431,Southampton,Watford,0.5,0.25,0.25,0.5
432,Southampton,Bradford,1,1,0,0
433,Southampton,Fulham,0.33,0.17,0.67,0.33
434,Southampton,Birmingham,0.33,0,0.67,0
435,Southampton,Middlesboro,0,0,1,1
436,Southampton,West Brom,0.5,0.38,0.25,0.25
437,Southampton,Portsmouth,1,0,0,0
438,Southampton,Wolves,1,1,0,0
439,Southampton,Wigan,0,0,0,1
440,Southampton,Reading,1,1,0,0
441,Southampton,Hull,0.67,0.67,0.33,0
442,Southampton,Stoke,0.17,0.17,0.5,0.5
443,Southampton,Burnley,0.67,0,0,0.33
444,Southampton,Blackpool,0,0,0,0
445,Southampton,Swansea,0.5,0.67,0.33,0.17
446,Southampton,Cardiff,0,1,0,0
447,Southampton,Bournemouth,0.67,0.33,0.33,0.33
448,Southampton,Brighton,0,0,1,1
449,Southampton,Huddersfield,0,0,1,1
450,West Ham,Arsenal,0.09,0.23,0.36,0.05
451,West Ham,Aston Villa,0.3,0.15,0.5,0.4
452,West Ham,Chelsea,0.36,0.18,0.14,0.23
453,West Ham,Liverpool,0.36,0.05,0.14,0.27
454,West Ham,Man City,0.41,0.12,0.24,0.12
455,West Ham,Newcastle,0.4,0.15,0.2,0.3
456,West Ham,Oldham,1,1,0,0
457,West Ham,Sheffield United,0.5,0,0.5,0
458,West Ham,Southampton,0.69,0.19,0.06,0.38
459,West Ham,West Ham,0,0,0,0
460,West Ham,Norwich,0.4,0,0.6,0.6
461,West Ham,Tottenham,0.45,0.18,0.14,0.27
462,West Ham,Everton,0.23,0.14,0.32,0.23
463,West Ham,Ipswich,0.5,0.25,0.25,0.75
464,West Ham,Leeds,0.1,0.1,0.3,0.1
465,West Ham,Wimbledon,0.43,0.43,0.14,0.43
466,West Ham,Blackburn,0.71,0.21,0.21,0.29
467,West Ham,Coventry,0.62,0.25,0.25,0.5
468,West Ham,Man United,0.14,0.09,0.45,0.09
469,West Ham,QPR,0.4,0.2,0.4,0.4
470,West Ham,Sheffield Weds,0.57,0.29,0.14,0.29
471,West Ham,Swindon,0,0,1,1
472,West Ham,Crystal Palace,0.43,0.43,0.29,0.29
473,West Ham,Leicester,0.64,0.36,0.09,0.27
474,West Ham,Nottingham Forest,0.75,0.25,0,0.75
475,West Ham,Bolton,0.4,0.1,0.2,0.1
476,West Ham,Middlesbrough,0.73,0.18,0.18,0.09
477,West Ham,Derby,0.57,0.43,0.43,0.29
478,West Ham,Sunderland,0.67,0.2,0.2,0.47
479,West Ham,Barnsley,1,1,0,0
480,West Ham,Charlton,0.5,0,0.17,0.33
481,West Ham,Watford,0.6,0.2,0,0.4
482,West Ham,Bradford,0.5,1,0.5,0
483,West Ham,Fulham,0.5,0.6,0.4,0.1
484,West Ham,Birmingham,0.4,0.4,0.2,0.4
485,West Ham,Middlesboro,1,0,0,1
486,West Ham,West Brom,0.3,0.4,0.6,0.3
487,West Ham,Portsmouth,0.2,0.2,0.2,0.6
488,West Ham,Wolves,0.5,0.5,0,0.5
489,West Ham,Wigan,0.57,0.43,0.14,0
490,West Ham,Reading,0.33,0.33,0.33,0
