"","Match.Number","Round.Number","Date","Location","HomeTeam","AwayTeam","homeWinPct","awayWinPct","homeDrawPct","homeOdds","awayOdds","drawOdds"
"222",222,23,"13-01-2018","Emirates Stadium","Crystal Palace","Burnley",0.33,0.33,0.33,3.03,3.03,3.03
"223",223,23,"13-01-2018","Selhurst Park","Huddersfield","West Ham",0.25,0.5,0.25,4,2,4
"224",224,23,"13-01-2018","Craven Cottage","Newcastle","Swansea",0.29,0.38,0.33,3.45,2.63,3.03
"225",225,23,"13-01-2018","Elland Road","Tottenham","Everton",0.4,0.28,0.32,2.5,3.57,3.12
"226",226,23,"13-01-2018","King Power Stadium","Watford","Southampton",0.31,0.31,0.38,3.23,3.23,2.63
"227",227,23,"13-01-2018","Anfield","West Brom","Brighton",0.5,0.25,0.25,2,4,4
"228",228,23,"14-01-2018","Etihad Stadium","Bournemouth","Arsenal",0.33,0.33,0.33,3.03,3.03,3.03
"229",229,23,"14-01-2018","St. Mary's Stadium","Liverpool","Man City",0.44,0.26,0.3,2.27,3.85,3.33
"230",230,23,"15-01-2018","London Stadium","Man United","Spurs",0.48,0.25,0.28,2.08,4,3.57
"231",231,24,"20-01-2018","Villa Park","Arsenal","Crystal Palace",0.44,0.28,0.28,2.27,3.57,3.57
"232",232,24,"20-01-2018","Brentford Community Stadium","Brighton","Chelsea",0.25,0.5,0.25,4,2,4
"233",233,24,"20-01-2018","Amex Stadium","Burnley","Man United",0.31,0.38,0.31,3.23,2.63,3.23
"234",234,24,"20-01-2018","Stamford Bridge","Everton","West Brom",0.38,0.29,0.33,2.63,3.45,3.03
"235",235,24,"20-01-2018","Goodison Park","Leicester","Watford",0.5,0.25,0.25,2,4,4
"236",236,24,"20-01-2018","Old Trafford","Man City","Newcastle",0.43,0.26,0.31,2.33,3.85,3.23
"237",237,24,"20-01-2018","St. James' Park","Spurs","Huddersfield",0.5,0.25,0.25,2,4,4
"238",238,24,"20-01-2018","The City Ground","West Ham","Bournemouth",0.33,0.33,0.33,3.03,3.03,3.03
"239",239,24,"21-01-2018","Tottenham Hotspur Stadium","Southampton","Tottenham",0.36,0.33,0.31,2.78,3.03,3.23
"240",240,24,"22-01-2018","Molineux Stadium","Swansea","Liverpool",0.36,0.32,0.32,2.78,3.12,3.12
"241",241,25,"30-01-2018","Vitality Stadium","Huddersfield","Liverpool",0.25,0.5,0.25,4,2,4
"242",242,25,"30-01-2018","Selhurst Park","Swansea","Arsenal",0.36,0.39,0.25,2.78,2.56,4
"243",243,25,"30-01-2018","Goodison Park","West Ham","Crystal Palace",0.36,0.32,0.32,2.78,3.12,3.12
