Match Number,Round Number,Date,Location,HomeTeam,AwayTeam
250,25,31-01-2018,London Stadium,Tottenham,Man United
251,26,03-02-2018,Emirates Stadium,Arsenal,Everton
252,26,03-02-2018,Villa Park,Bournemouth,Spurs
253,26,03-02-2018,Brentford Community Stadium,Brighton,West Ham
254,26,03-02-2018,Amex Stadium,Burnley,Man City
255,26,03-02-2018,Stamford Bridge,Leicester,Swansea
256,26,03-02-2018,Anfield,Man United,Huddersfield
257,26,03-02-2018,Etihad Stadium,West Brom,Southampton
258,26,04-02-2018,The City Ground,Crystal Palace,Newcastle
259,26,04-02-2018,St. Mary's Stadium,Liverpool,Tottenham
260,26,05-02-2018,Molineux Stadium,Watford,Chelsea
261,27,10-02-2018,Vitality Stadium,Everton,Crystal Palace
262,27,10-02-2018,Selhurst Park,Man City,Leicester
263,27,10-02-2018,Goodison Park,Spurs,Brighton
264,27,10-02-2018,Craven Cottage,Swansea,Burnley
265,27,10-02-2018,Elland Road,Tottenham,Arsenal
266,27,10-02-2018,King Power Stadium,West Ham,Watford
267,27,11-02-2018,Old Trafford,Huddersfield,Bournemouth
268,27,11-02-2018,St. James' Park,Newcastle,Man United
269,27,11-02-2018,Tottenham Hotspur Stadium,Southampton,Liverpool
270,27,12-02-2018,London Stadium,Chelsea,West Brom
271,28,24-02-2018,Emirates Stadium,Bournemouth,Newcastle
272,28,24-02-2018,Villa Park,Brighton,Swansea
273,28,24-02-2018,Brentford Community Stadium,Burnley,Southampton
274,28,24-02-2018,Amex Stadium,Leicester,Spurs
275,28,24-02-2018,Stamford Bridge,Liverpool,West Ham
276,28,24-02-2018,Anfield,Watford,Everton
277,28,24-02-2018,Etihad Stadium,West Brom,Huddersfield
278,28,25-02-2018,The City Ground,Crystal Palace,Tottenham
279,28,25-02-2018,St. Mary's Stadium,Man United,Chelsea
280,28,01-03-2018,Molineux Stadium,Arsenal,Man City
281,29,03-03-2018,Vitality Stadium,Burnley,Everton
282,29,03-03-2018,Emirates Stadium,Leicester,Bournemouth
283,29,03-03-2018,Amex Stadium,Liverpool,Newcastle
284,29,03-03-2018,Stamford Bridge,Southampton,Spurs
285,29,03-03-2018,Selhurst Park,Swansea,West Ham
286,29,03-03-2018,Goodison Park,Tottenham,Huddersfield
287,29,03-03-2018,Etihad Stadium,Watford,West Brom
288,29,04-03-2018,St. James' Park,Brighton,Arsenal
289,29,04-03-2018,The City Ground,Man City,Chelsea
290,29,05-03-2018,London Stadium,Crystal Palace,Man United
291,30,10-03-2018,Villa Park,Chelsea,Crystal Palace
292,30,10-03-2018,Brentford Community Stadium,Everton,Brighton
293,30,10-03-2018,Craven Cottage,Huddersfield,Swansea
294,30,10-03-2018,Elland Road,Man United,Liverpool
295,30,10-03-2018,King Power Stadium,Newcastle,Southampton
296,30,10-03-2018,Anfield,West Brom,Leicester
297,30,10-03-2018,Old Trafford,West Ham,Burnley
298,30,11-03-2018,St. Mary's Stadium,Arsenal,Watford
299,30,11-03-2018,Tottenham Hotspur Stadium,Bournemouth,Tottenham
300,30,12-03-2018,Molineux Stadium,Spurs,Man City
301,31,17-03-2018,Villa Park,Bournemouth,West Brom
302,31,17-03-2018,Stamford Bridge,Huddersfield,Crystal Palace
303,31,17-03-2018,Goodison Park,Liverpool,Watford
304,31,17-03-2018,Elland Road,Spurs,Everton
305,31,31-03-2018,Etihad Stadium,Brighton,Leicester
306,31,31-03-2018,The City Ground,Crystal Palace,Liverpool
307,31,31-03-2018,St. Mary's Stadium,Everton,Man City
308,31,31-03-2018,Tottenham Hotspur Stadium,Man United,Swansea
309,31,31-03-2018,London Stadium,Newcastle,Huddersfield
310,31,31-03-2018,Molineux Stadium,Watford,Bournemouth
311,32,31-03-2018,Vitality Stadium,West Brom,Burnley
312,32,31-03-2018,Emirates Stadium,West Ham,Southampton
313,32,01-04-2018,Brentford Community Stadium,Arsenal,Spurs
314,32,01-04-2018,Amex Stadium,Chelsea,Tottenham
315,32,07-04-2018,Selhurst Park,Bournemouth,Crystal Palace
316,32,07-04-2018,Craven Cottage,Brighton,Huddersfield
317,32,07-04-2018,King Power Stadium,Everton,Liverpool
318,32,07-04-2018,Anfield,Leicester,Newcastle
319,32,07-04-2018,Old Trafford,Man City,Man United
320,32,07-04-2018,St. James' Park,Spurs,Tottenham
321,33,07-04-2018,Goodison Park,Watford,Burnley
322,33,07-04-2018,Elland Road,West Brom,Swansea
323,33,08-04-2018,The City Ground,Arsenal,Southampton
324,33,08-04-2018,Tottenham Hotspur Stadium,Chelsea,West Ham
325,33,14-04-2018,London Stadium,Burnley,Leicester
326,33,14-04-2018,Molineux Stadium,Crystal Palace,Brighton
327,33,14-04-2018,Villa Park,Huddersfield,Watford
328,33,14-04-2018,Stamford Bridge,Liverpool,Bournemouth
329,33,14-04-2018,St. Mary's Stadium,Southampton,Chelsea
330,33,14-04-2018,Etihad Stadium,Swansea,Everton
331,34,14-04-2018,Vitality Stadium,Tottenham,Man City
332,34,15-04-2018,Emirates Stadium,Man United,West Brom
333,34,15-04-2018,Brentford Community Stadium,Newcastle,Arsenal
334,34,16-04-2018,Amex Stadium,West Ham,Spurs
335,34,17-04-2018,Selhurst Park,Brighton,Tottenham
336,34,18-04-2018,Craven Cottage,Bournemouth,Man United
337,34,19-04-2018,King Power Stadium,Burnley,Chelsea
338,34,19-04-2018,Anfield,Leicester,Southampton
339,34,21-04-2018,Old Trafford,Watford,Crystal Palace
340,34,21-04-2018,St. James' Park,West Brom,Liverpool
341,35,22-04-2018,Vitality Stadium,Arsenal,West Ham
342,35,22-04-2018,Amex Stadium,Man City,Swansea
343,35,22-04-2018,Craven Cottage,Spurs,Burnley
344,35,23-04-2018,Anfield,Everton,Newcastle
345,35,28-04-2018,Etihad Stadium,Burnley,Brighton
346,35,28-04-2018,St. James' Park,Crystal Palace,Leicester
347,35,28-04-2018,The City Ground,Huddersfield,Everton
348,35,28-04-2018,Tottenham Hotspur Stadium,Liverpool,Spurs
349,35,28-04-2018,London Stadium,Newcastle,West Brom
350,35,28-04-2018,Molineux Stadium,Southampton,Bournemouth
351,36,28-04-2018,Emirates Stadium,Swansea,Chelsea
352,36,29-04-2018,Villa Park,Man United,Arsenal
353,36,29-04-2018,Brentford Community Stadium,West Ham,Man City
354,36,30-04-2018,Stamford Bridge,Tottenham,Watford
355,36,04-05-2018,Selhurst Park,Brighton,Man United
356,36,05-05-2018,Goodison Park,Bournemouth,Swansea
357,36,05-05-2018,Elland Road,Everton,Southampton
358,36,05-05-2018,King Power Stadium,Leicester,West Ham
359,36,05-05-2018,Old Trafford,Spurs,Crystal Palace
360,36,05-05-2018,St. Mary's Stadium,Watford,Newcastle
361,37,05-05-2018,Vitality Stadium,West Brom,Tottenham
362,37,06-05-2018,Amex Stadium,Arsenal,Burnley
363,37,06-05-2018,Craven Cottage,Chelsea,Liverpool
364,37,06-05-2018,Anfield,Man City,Huddersfield
365,37,08-05-2018,Etihad Stadium,Swansea,Southampton
366,37,09-05-2018,St. James' Park,Chelsea,Huddersfield
367,37,09-05-2018,The City Ground,Leicester,Arsenal
368,37,09-05-2018,Tottenham Hotspur Stadium,Man City,Brighton
369,37,09-05-2018,London Stadium,Tottenham,Newcastle
370,37,10-05-2018,Molineux Stadium,West Ham,Man United
371,38,13-05-2018,Emirates Stadium,Burnley,Bournemouth
372,38,13-05-2018,Villa Park,Crystal Palace,West Brom
373,38,13-05-2018,Brentford Community Stadium,Huddersfield,Arsenal
374,38,13-05-2018,Stamford Bridge,Liverpool,Brighton
375,38,13-05-2018,Selhurst Park,Man United,Watford
376,38,13-05-2018,Goodison Park,Newcastle,Chelsea
377,38,13-05-2018,Elland Road,Southampton,Man City
378,38,13-05-2018,King Power Stadium,Swansea,Spurs
379,38,13-05-2018,Old Trafford,Tottenham,Leicester
380,38,13-05-2018,St. Mary's Stadium,West Ham,Everton
